Attr1,Attr2,Identity
1.05287,0.18891,Aussie
0.92930,-0.42300,Aussie
-0.73922,-0.63545,Aussie
-0.84969,0.56715,Aussie
-0.36363,-0.09285,Kiwi
-0.10553,-0.24097,Kiwi
0.26677,0.03235,Kiwi
-0.78137,0.57590,Aussie
0.06710,-0.25984,Kiwi
-0.84778,0.47485,Aussie
0.23373,-0.01134,Kiwi
0.72315,-0.74750,Aussie
-0.16384,-1.09108,Aussie
-0.14297,0.25330,Kiwi
-0.15613,-0.19399,Kiwi
1.01415,-0.31863,Aussie
0.27559,0.01748,Kiwi
-0.57477,-0.90567,Aussie
-0.35786,-0.84265,Aussie
0.12043,-0.44816,Kiwi
0.19276,0.19461,Kiwi
0.31622,0.13695,Kiwi
0.25595,-0.11407,Kiwi
-0.84841,0.28157,Aussie
0.26847,0.24138,Kiwi
-0.40221,0.93253,Aussie
0.92933,-0.47541,Aussie
0.23721,0.94681,Aussie
0.32084,-0.88391,Aussie
-0.02557,-0.27131,Kiwi
-0.26549,0.10003,Kiwi
0.85325,0.41200,Aussie
0.30939,0.14958,Kiwi
-0.60229,-0.79603,Aussie
-0.83497,0.68148,Aussie
-0.32044,-0.03559,Kiwi
-0.85237,-0.68029,Aussie
-0.35028,0.04838,Kiwi
-0.26946,-0.07896,Kiwi
0.36465,-0.98645,Aussie
-0.28911,0.20823,Kiwi
-0.82466,0.49471,Aussie
0.20245,0.19162,Kiwi
0.95254,-0.11587,Aussie
-0.38994,0.07168,Kiwi
0.06678,1.05816,Aussie
0.08457,0.29628,Kiwi
-0.28884,-0.11822,Kiwi
-0.99062,0.21096,Aussie
-0.21273,-0.23746,Kiwi
-0.38555,-0.19114,Kiwi
0.01543,-0.34619,Kiwi
0.13615,0.31138,Kiwi
0.12829,-0.24189,Kiwi
-0.92764,-0.38649,Aussie
-0.05733,-0.31847,Kiwi
-0.28744,-0.10496,Kiwi
-0.10400,-0.26256,Kiwi
0.07233,-0.37558,Kiwi
0.12191,0.21857,Kiwi
-0.13461,0.32288,Kiwi
-0.22103,-0.09375,Kiwi
0.10555,0.28036,Kiwi
-0.00221,-0.36434,Kiwi
0.20233,-0.32754,Kiwi
-0.12792,0.97945,Aussie
0.92031,-0.45083,Aussie
-0.89273,-0.31930,Aussie
0.00510,-0.36061,Kiwi
-0.14548,1.04006,Aussie
0.22580,0.16637,Kiwi
0.48107,-0.81986,Aussie
0.27243,-0.12077,Kiwi
-0.63937,0.72058,Aussie
0.21316,-0.18528,Kiwi
-0.28781,-1.01537,Aussie
0.18901,0.22372,Kiwi
0.22906,-0.03038,Kiwi
-0.70911,-0.79694,Aussie
0.22146,0.04262,Kiwi
-0.25576,0.10343,Kiwi
-0.10963,0.31424,Kiwi
0.16835,-0.99307,Aussie
-0.10588,-0.18988,Kiwi
0.00822,0.23175,Kiwi
-0.82904,-0.53848,Aussie
-0.71235,-0.75658,Aussie
-1.04678,0.06305,Aussie
0.02439,-0.37954,Kiwi
-0.75503,0.69803,Aussie
0.26502,-0.21810,Kiwi
0.52878,0.76224,Aussie
-0.14968,-0.29392,Kiwi
-0.19581,-0.23658,Kiwi
0.17345,0.32142,Kiwi
0.18244,0.29040,Kiwi
-0.28844,0.12925,Kiwi
0.99382,0.33256,Aussie
-0.15243,0.12070,Kiwi
0.20089,0.25131,Kiwi
0.82682,-0.60272,Aussie
-0.91009,-0.43132,Aussie
-0.18522,0.24446,Kiwi
0.07599,-0.23048,Kiwi
0.59452,-0.76619,Aussie
-0.21977,0.27189,Kiwi
0.00906,0.24681,Kiwi
-0.60948,0.77993,Aussie
0.29778,0.04800,Kiwi
-0.21790,-0.15032,Kiwi
-0.83280,-0.50857,Aussie
0.93803,0.29178,Aussie
0.32407,-0.07214,Kiwi
0.42504,0.93163,Aussie
0.53079,0.86293,Aussie
-0.05688,0.25117,Kiwi
0.13725,-1.00350,Aussie
-0.27751,0.02984,Kiwi
-0.60746,-0.81523,Aussie
-0.35744,0.02592,Kiwi
0.41772,0.85541,Aussie
0.22409,0.95024,Aussie
-0.57830,-0.91406,Aussie
0.30604,0.02493,Kiwi
-0.34866,-0.09123,Kiwi
-0.23067,0.15772,Kiwi
0.29113,1.02418,Aussie
-0.97605,0.27522,Aussie
-0.82047,0.47200,Aussie
-0.66364,-0.75783,Aussie
0.20789,-0.06285,Kiwi
-0.25044,0.14089,Kiwi
-0.37884,0.22906,Kiwi
-0.10394,0.93096,Aussie
0.30065,-0.03957,Kiwi
0.27591,-1.01535,Aussie
0.81575,-0.22094,Aussie
0.29331,-0.21619,Kiwi
0.94321,0.00182,Aussie
-0.09016,0.29656,Kiwi
0.85566,0.44508,Aussie
-0.24093,0.05748,Kiwi
-0.54016,0.89811,Aussie
0.00917,0.25927,Kiwi
0.63829,-0.82346,Aussie
-0.30316,-0.04069,Kiwi
-0.06552,0.33864,Kiwi
0.07184,1.01400,Aussie
0.61722,0.72443,Aussie
-0.40428,-0.05396,Kiwi
0.30381,0.10289,Kiwi
-0.16963,-0.95554,Aussie
0.33633,0.97337,Aussie
0.14921,1.06183,Aussie
0.62518,-0.80167,Aussie
-0.30271,0.21187,Kiwi
-0.87773,0.49657,Aussie
-0.96662,0.45304,Aussie
0.67180,0.72020,Aussie
0.30568,0.17497,Kiwi
-0.19150,-0.11957,Kiwi
-0.93061,-0.37268,Aussie
0.76843,-0.62553,Aussie
-0.28653,-0.20989,Kiwi
-0.45133,0.89564,Aussie
-1.02823,-0.07593,Aussie
-0.31672,0.89254,Aussie
0.94609,-0.28728,Aussie
-1.01964,-0.26609,Aussie
-0.94601,0.23097,Aussie
-0.88436,0.39426,Aussie
0.79172,0.51053,Aussie
0.19746,-0.25190,Kiwi
-0.09162,-0.33112,Kiwi
0.18748,-0.19580,Kiwi
-0.31875,0.13333,Kiwi
0.83570,-0.61214,Aussie
0.29560,-0.27924,Kiwi
0.26176,0.09554,Kiwi
0.22320,-1.00300,Aussie
-0.29025,-0.02005,Kiwi
0.12763,-0.33684,Kiwi
0.11969,0.22387,Kiwi
0.15788,0.29449,Kiwi
-0.47903,-0.84429,Aussie
-0.97417,-0.05086,Aussie
0.34167,-0.02994,Kiwi
-0.26321,0.01106,Kiwi
-0.09376,-0.90808,Aussie
-0.06125,-0.33453,Kiwi
-0.24121,-0.12947,Kiwi
0.29552,0.12926,Kiwi
-0.20582,-1.04726,Aussie
-0.21598,-0.01359,Kiwi
0.17300,0.22832,Kiwi
-0.01183,1.07394,Aussie
-0.23856,0.14577,Kiwi
0.30072,0.13157,Kiwi
-0.02132,0.36057,Kiwi
0.55290,0.80858,Aussie
-0.01103,-0.24441,Kiwi
0.28056,-0.12277,Kiwi
0.07117,0.38846,Kiwi
-0.36401,0.04759,Kiwi
-0.24046,-0.88878,Aussie
-0.82676,0.63702,Aussie
0.49251,-0.88259,Aussie
0.22024,0.17856,Kiwi
0.60785,0.78906,Aussie
0.22590,-0.11733,Kiwi
0.90133,-0.26632,Aussie
0.96763,-0.18866,Aussie
0.13451,1.02302,Aussie
-0.22102,-0.10382,Kiwi
0.26717,0.91645,Aussie
-0.46492,1.00192,Aussie
0.33601,0.06522,Kiwi
-0.95907,-0.28275,Aussie
0.78844,-0.55354,Aussie
-1.02778,0.08826,Aussie
0.28832,-0.00862,Kiwi
0.24990,-0.22639,Kiwi
-0.25347,-0.15552,Kiwi
-0.41045,-0.79014,Aussie
0.20227,-0.98842,Aussie
-0.37625,-0.07641,Kiwi
-0.98358,-0.24205,Aussie
0.03809,0.34553,Kiwi
0.31211,-0.27564,Kiwi
0.89766,-0.19062,Aussie
-0.06948,0.29963,Kiwi
0.18211,-0.94554,Aussie
0.04661,-0.29239,Kiwi
-0.11450,0.28025,Kiwi
0.14747,-0.26896,Kiwi
-0.91331,-0.49023,Aussie
0.17777,0.30986,Kiwi
1.00980,0.21375,Aussie
0.21713,-0.30703,Kiwi
0.63564,0.81567,Aussie
0.31438,-0.12047,Kiwi
0.11021,0.21901,Kiwi
-0.22436,0.22474,Kiwi
0.27486,-1.01080,Aussie
-0.00367,0.40155,Kiwi
-0.20957,0.22441,Kiwi
0.27887,-0.07275,Kiwi
0.97026,-0.16148,Aussie
-0.34747,0.11989,Kiwi
-1.06745,0.21909,Aussie
0.36984,-0.90014,Aussie
-0.02194,0.32045,Kiwi
-0.19006,0.27088,Kiwi
-0.19211,-0.23357,Kiwi
0.97863,0.12449,Aussie
0.99473,0.09617,Aussie
-0.26395,-0.04125,Kiwi
0.73893,-0.58683,Aussie
-0.29938,0.88439,Aussie
0.04737,-0.97156,Aussie
0.22846,0.22029,Kiwi
-0.01714,0.20758,Kiwi
-0.98889,0.24285,Aussie
-0.82345,0.59285,Aussie
0.13902,-0.14881,Kiwi
0.95019,0.33472,Aussie
-0.26946,-0.10785,Kiwi
-0.87866,0.41044,Aussie
-0.81410,0.50073,Aussie
0.21037,-0.21170,Kiwi
-0.62254,0.74811,Aussie
0.19124,0.95211,Aussie
-0.64910,0.74772,Aussie
0.44583,0.81583,Aussie
-0.68484,-0.70849,Aussie
0.84985,0.58323,Aussie
-0.80728,-0.61139,Aussie
0.87341,0.20396,Aussie
0.89000,-0.49090,Aussie
-0.24734,0.09754,Kiwi
0.00826,-0.25805,Kiwi
0.26376,-0.11280,Kiwi
0.01062,-0.24251,Kiwi
0.21243,0.17942,Kiwi
0.91758,0.31425,Aussie
-0.80417,0.56062,Aussie
0.94714,-0.40678,Aussie
-0.26956,0.10391,Kiwi
-0.33468,-0.14168,Kiwi
-0.09928,-0.33993,Kiwi
0.05917,0.29059,Kiwi
-0.06191,-0.29578,Kiwi
-0.54650,0.84072,Aussie
0.56118,-0.83274,Aussie
0.22151,0.93835,Aussie
-0.90057,0.41020,Aussie
0.96963,-0.11900,Aussie
0.00342,0.25569,Kiwi
1.00522,0.23885,Aussie
-0.24558,0.93008,Aussie
-0.35904,-0.03731,Kiwi
-1.01085,0.07591,Aussie
-0.33246,0.89362,Aussie
-0.19766,0.26075,Kiwi
0.32390,0.86634,Aussie
-0.14335,-0.25979,Kiwi
0.98860,0.24974,Aussie
-0.97855,0.41994,Aussie
-0.09102,0.38853,Kiwi
-0.18035,0.29751,Kiwi
0.06322,0.27184,Kiwi
0.26399,-0.03105,Kiwi
-0.71004,0.71344,Aussie
0.77639,0.65364,Aussie
0.18295,-0.25093,Kiwi
0.05719,-0.28662,Kiwi
-0.95937,0.25801,Aussie
-0.28399,-0.08084,Kiwi
0.95594,0.36980,Aussie
0.86573,0.51826,Aussie
0.31912,-0.18951,Kiwi
0.19751,0.15072,Kiwi
0.29279,-0.11970,Kiwi
-0.23355,0.28087,Kiwi
1.03467,-0.12307,Aussie
-0.18700,-0.97723,Aussie
-0.80478,0.61150,Aussie
0.35206,-0.03703,Kiwi
-0.23106,0.31375,Kiwi
-0.80405,-0.57129,Aussie
-0.10098,-0.22189,Kiwi
-0.01403,-0.32384,Kiwi
-0.24458,0.18231,Kiwi
0.55020,0.78416,Aussie
0.48936,0.85310,Aussie
-0.94610,-0.14801,Aussie
-0.37119,0.90645,Aussie
0.04475,-0.28419,Kiwi
-0.24746,-0.04157,Kiwi
-0.00584,-0.25165,Kiwi
0.27406,0.15153,Kiwi
-0.18038,0.23562,Kiwi
-0.84094,0.50668,Aussie
-0.10305,1.01203,Aussie
-0.96079,-0.29328,Aussie
0.31139,-0.28095,Kiwi
0.16595,0.26156,Kiwi
0.18651,0.21621,Kiwi
-0.22894,-0.25591,Kiwi
0.19387,-0.28688,Kiwi
-0.29101,-0.11983,Kiwi
0.06156,0.97187,Aussie
-0.10951,0.33921,Kiwi
-0.91994,-0.33112,Aussie
0.26420,0.17338,Kiwi
0.21486,-0.24464,Kiwi
0.60265,-0.79345,Aussie
-0.04318,-0.25420,Kiwi
-0.24825,-0.21851,Kiwi
-0.87142,-0.13948,Aussie
-0.18239,0.03258,Kiwi
-0.15907,-0.25686,Kiwi
0.07198,-1.00253,Aussie
-0.20543,-0.19996,Kiwi
0.97601,0.00430,Aussie
0.39521,1.06385,Aussie
-0.18911,-0.07948,Kiwi
-0.07294,0.36154,Kiwi
0.90961,0.44516,Aussie
0.05920,-0.33541,Kiwi
0.80370,0.58194,Aussie
-0.50577,0.83399,Aussie
-1.04319,-0.06982,Aussie
1.00497,-0.17267,Aussie
0.77698,-0.80208,Aussie
-0.26953,-0.16069,Kiwi
0.97256,-0.03427,Aussie
-0.22005,-0.03148,Kiwi
0.66679,0.60706,Aussie
-0.08528,0.22580,Kiwi
-0.35665,0.12951,Kiwi
-0.34621,-0.95050,Aussie
-0.23386,0.15904,Kiwi
-0.18866,0.26909,Kiwi
-0.94901,-0.35821,Aussie
0.94337,0.09147,Aussie
-0.00341,-1.01795,Aussie
0.94555,-0.35316,Aussie
-0.36558,-0.20606,Kiwi
-0.12024,-0.16256,Kiwi
-0.27997,0.08532,Kiwi
-0.83331,-0.42620,Aussie
0.21587,-0.05368,Kiwi
0.61850,0.81868,Aussie
-0.92535,0.35325,Aussie
0.31637,-0.09315,Kiwi
0.50893,0.85566,Aussie
0.01942,-0.28529,Kiwi
-0.39236,-0.96457,Aussie
-0.12899,0.20419,Kiwi
0.86459,-0.44599,Aussie
0.29903,-0.10747,Kiwi
0.05737,-1.00587,Aussie
0.21713,-0.14552,Kiwi
0.26445,-0.18091,Kiwi
0.11597,0.20826,Kiwi
0.12174,-0.34108,Kiwi
-0.17469,0.31903,Kiwi
-0.48107,-0.92556,Aussie
-0.31916,-0.09737,Kiwi
0.45275,0.99896,Aussie
-0.29831,-0.14032,Kiwi
-0.20350,0.22509,Kiwi
-0.33023,0.06128,Kiwi
0.54141,0.75798,Aussie
-0.18508,-0.24849,Kiwi
-0.24344,0.15277,Kiwi
0.31390,1.07647,Aussie
0.23351,-0.27594,Kiwi
-0.80279,-0.49697,Aussie
-0.20261,0.99180,Aussie
0.39252,-0.90019,Aussie
-0.97949,-0.01127,Aussie
0.24361,0.15263,Kiwi
-0.17597,-0.95805,Aussie
0.24789,-0.15755,Kiwi
0.31021,0.87843,Aussie
0.42558,-0.89272,Aussie
-0.28218,0.18057,Kiwi
-0.76523,-0.62042,Aussie
0.00471,-0.31504,Kiwi
-0.67711,0.67697,Aussie
0.87100,0.55812,Aussie
0.16060,0.15473,Kiwi
-0.22854,0.00305,Kiwi
0.87579,0.54640,Aussie
0.88017,0.42688,Aussie
-0.05796,0.27220,Kiwi
-0.98281,0.17069,Aussie
-0.09087,-0.23118,Kiwi
-0.44232,0.87611,Aussie
-0.77755,-0.59309,Aussie
0.85433,-0.51734,Aussie
-0.13901,1.01514,Aussie
-0.01555,-0.30663,Kiwi
0.93259,0.21724,Aussie
0.97756,-0.42584,Aussie
0.70119,-0.87392,Aussie
-0.17979,-0.25069,Kiwi
-0.85166,0.58792,Aussie
-0.11529,0.32428,Kiwi
-0.20957,-0.18944,Kiwi
0.20217,-1.01169,Aussie
-0.92841,-0.42074,Aussie
0.30276,0.09421,Kiwi
-0.07586,-0.29536,Kiwi
1.03956,-0.26244,Aussie
-1.02255,0.27121,Aussie
-0.89986,0.47070,Aussie
-1.01984,0.19089,Aussie
-0.29075,-0.94634,Aussie
-0.17183,0.23671,Kiwi
-0.44989,0.82553,Aussie
0.11504,0.24890,Kiwi
-0.05984,-0.25228,Kiwi
0.77522,-0.54382,Aussie
-1.08116,0.01631,Aussie
1.00052,0.37833,Aussie
-0.35583,0.04503,Kiwi
0.03603,0.96534,Aussie
0.09193,-0.32321,Kiwi
0.03924,0.16016,Kiwi
-0.02179,-0.26383,Kiwi
0.60510,0.77656,Aussie
0.97107,0.18134,Aussie
0.21012,0.18141,Kiwi
-0.26795,-0.08442,Kiwi
0.25146,0.02149,Kiwi
0.10415,0.21664,Kiwi
0.57747,-0.91984,Aussie
0.81169,-0.46830,Aussie
-0.09725,-0.23846,Kiwi
-0.15859,0.09928,Kiwi
-0.78437,-0.63923,Aussie
0.15419,1.01176,Aussie
0.35390,0.04750,Kiwi
0.10424,-0.24756,Kiwi
0.38898,0.85670,Aussie
0.01787,1.02540,Aussie
0.29803,-0.19923,Kiwi
0.17134,0.14739,Kiwi
-0.40494,0.05364,Kiwi
-0.28596,0.09920,Kiwi
-0.17549,0.24936,Kiwi
-0.40611,-0.91441,Aussie
0.33879,0.15721,Kiwi
-0.00813,0.24005,Kiwi
0.05593,0.22073,Kiwi
0.08426,-0.30393,Kiwi
0.73955,-0.80013,Aussie
0.20787,0.12552,Kiwi
0.97813,0.00119,Aussie
0.91154,0.49664,Aussie
-0.12099,-0.24720,Kiwi
0.08986,-0.30718,Kiwi
-0.67603,0.59636,Aussie
0.60860,-0.78017,Aussie
-0.55197,0.93396,Aussie
-0.09625,-0.28909,Kiwi
1.03436,0.20377,Aussie
-0.99135,-0.17484,Aussie
0.65460,-0.84809,Aussie
-0.34751,0.20029,Kiwi
-0.88023,0.26377,Aussie
0.46951,0.94020,Aussie
-0.00983,-0.24194,Kiwi
-1.00084,-0.30167,Aussie
-0.24419,0.22083,Kiwi
0.22626,0.06507,Kiwi
0.25530,-0.95410,Aussie
-0.07030,-0.32420,Kiwi
-0.86115,-0.24971,Aussie
0.52568,-0.80441,Aussie
0.57800,0.79100,Aussie
-0.87291,0.61547,Aussie
0.29292,-0.17456,Kiwi
-0.74391,-0.56935,Aussie
0.25779,-0.09346,Kiwi
0.45591,-0.96236,Aussie
0.35733,0.87657,Aussie
-0.81857,-0.36649,Aussie
-0.41940,-0.94418,Aussie
0.23607,-0.23265,Kiwi
0.71249,-0.70758,Aussie
-0.34863,-0.96183,Aussie
-0.92480,-0.01128,Aussie
-0.38945,0.89437,Aussie
0.07037,0.28408,Kiwi
-0.11235,-0.96183,Aussie
-0.06949,-0.20333,Kiwi
0.17810,-0.15602,Kiwi
0.02402,0.38078,Kiwi
-0.26085,-0.01561,Kiwi
-0.68207,0.72429,Aussie
0.28711,-0.32302,Kiwi
-0.39414,-0.85291,Aussie
-0.28297,0.11878,Kiwi
-0.00013,-0.39134,Kiwi
-0.28751,-0.98942,Aussie
0.14105,0.29604,Kiwi
-0.79657,-0.53571,Aussie
-0.01681,0.21134,Kiwi
0.74060,-0.75710,Aussie
0.04834,-0.95884,Aussie
-0.96017,-0.32848,Aussie
0.98758,0.46363,Aussie
0.94536,0.13266,Aussie
0.52252,0.84903,Aussie
-0.18040,0.06601,Kiwi
-0.01468,0.23458,Kiwi
0.26093,-0.19601,Kiwi
0.44376,-0.87391,Aussie
0.28276,0.24167,Kiwi
-0.21759,-0.20479,Kiwi
0.28685,0.08308,Kiwi
0.48935,0.90355,Aussie
0.87833,-0.49159,Aussie
-0.24342,0.01387,Kiwi
-0.15002,0.18095,Kiwi
-0.26046,-0.25353,Kiwi
0.25386,0.14390,Kiwi
0.76456,0.66105,Aussie
0.30836,0.96674,Aussie
0.77549,-0.60912,Aussie
0.98405,-0.05075,Aussie
-0.55860,-0.81494,Aussie
-0.12677,0.32397,Kiwi
0.25430,-0.08513,Kiwi
-0.06298,0.28846,Kiwi
-0.91867,0.44661,Aussie
-0.23923,-0.08141,Kiwi
0.73462,-0.62551,Aussie
-0.73968,-0.52292,Aussie
0.71446,0.65861,Aussie
0.16275,0.93537,Aussie
-1.03818,0.11613,Aussie
-0.94183,0.36849,Aussie
0.24417,0.88738,Aussie
0.92439,0.28420,Aussie
-0.17158,0.20648,Kiwi
-0.15754,0.17014,Kiwi
0.92612,0.28325,Aussie
-0.56611,-0.85060,Aussie
-0.28788,0.08057,Kiwi
0.49520,0.83572,Aussie
-0.58860,0.84759,Aussie
-0.32321,-0.12368,Kiwi
-0.29628,0.00852,Kiwi
0.39296,-0.07915,Kiwi
-0.34790,0.06117,Kiwi
0.07543,0.28123,Kiwi
-0.67612,-0.71573,Aussie
-0.72801,0.67672,Aussie
-1.01973,0.14167,Aussie
0.95589,-0.36833,Aussie
-0.24000,0.95363,Aussie
0.97448,-0.42436,Aussie
-0.33547,-0.94263,Aussie
0.72208,-0.67832,Aussie
-0.20491,-0.12892,Kiwi
-0.20181,0.19286,Kiwi
0.96769,0.14414,Aussie
-0.02096,0.44043,Kiwi
-0.96035,-0.35253,Aussie
-0.19429,0.23099,Kiwi
0.96938,-0.30593,Aussie
0.31275,0.06527,Kiwi
-0.06582,-0.19530,Kiwi
-0.26031,-0.07267,Kiwi
-0.02191,-1.10521,Aussie
-0.59589,0.79983,Aussie
0.97959,-0.07663,Aussie
-0.06626,0.28404,Kiwi
-0.85802,0.53026,Aussie
-0.29302,0.98258,Aussie
-0.05355,0.99162,Aussie
-0.35707,-0.10402,Kiwi
-1.01238,-0.45285,Aussie
0.06270,0.27542,Kiwi
0.07894,-0.27982,Kiwi
0.05349,-0.99196,Aussie
0.92100,0.47439,Aussie
0.30001,0.05672,Kiwi
0.98726,-0.00528,Aussie
-0.01358,0.34468,Kiwi
0.11503,0.27120,Kiwi
0.23889,0.19146,Kiwi
-0.28080,0.93841,Aussie
-0.70442,-0.63980,Aussie
-0.03019,-0.23678,Kiwi
0.68020,-0.69849,Aussie
-0.21356,-0.20033,Kiwi
0.33319,0.15250,Kiwi
-0.79264,0.67499,Aussie
0.25214,-0.88583,Aussie
0.28704,-0.13489,Kiwi
-0.06436,0.23608,Kiwi
0.22165,-0.01787,Kiwi
-0.36782,-1.06575,Aussie
0.22478,-0.99068,Aussie
-0.13569,-0.26210,Kiwi
-0.30164,0.09437,Kiwi
0.74105,0.68695,Aussie
0.27456,0.06862,Kiwi
-1.00814,-0.16397,Aussie
-0.56262,0.90483,Aussie
-0.40615,0.08378,Kiwi
0.56889,0.83649,Aussie
0.31640,0.01190,Kiwi
0.63617,0.80200,Aussie
0.73832,0.60190,Aussie
-0.22337,-0.26276,Kiwi
-0.25169,-0.20879,Kiwi
-0.18461,0.06615,Kiwi
-0.48375,-0.90293,Aussie
-0.33422,-0.91393,Aussie
0.30132,0.05190,Kiwi
0.11479,0.27517,Kiwi
-0.15490,-0.20848,Kiwi
0.03838,0.33144,Kiwi
0.83313,0.70666,Aussie
0.26654,0.09941,Kiwi
0.15474,-0.43768,Kiwi
0.28211,-0.23002,Kiwi
0.08943,-0.31052,Kiwi
1.00359,0.02542,Aussie
0.93391,0.05220,Aussie
-0.52005,-0.85635,Aussie
-0.76252,-0.61226,Aussie
0.19174,-0.24683,Kiwi
-0.19248,0.16226,Kiwi
-0.00388,-0.32457,Kiwi
-0.58009,-0.73069,Aussie
-0.15745,0.00538,Kiwi
-0.21174,-0.14347,Kiwi
-0.71698,0.71036,Aussie
0.60213,-0.78782,Aussie
0.06350,1.04219,Aussie
0.28427,0.25921,Kiwi
0.83572,-0.43733,Aussie
-0.96875,-0.12471,Aussie
-0.97193,0.27596,Aussie
